name,color,description
framework-debate,#1f6feb,"Major discussion about framework structure or philosophy"
values-alignment,#8957e5,"Explicit discussion of alignment with Bitcoin values"
proposal,#0e8a16,"Structured proposal ready for review or PR"
legal-review,#d93f0b,"Requires input from legal/governance perspective"
needs-discussion,#fbca04,"Not yet ready for PR — needs more community input"
documentation,#5319e7,"Improvements to clarity, structure, or presentation"
enhancement,#a2eeef,"New content or feature addition to documents"
question,#d8760a,"Questions seeking clarification or guidance"
good-first-issue,#7057ff,"Suitable for new contributors"
published,#0e8a16,"Change has been merged and officially published"
under-review,#1f6feb,"Currently in Pull Request review"
platform-risk,#b60205,"Related to GitHub or platform availability risks"
bitcoin-sovereignty,#0e8a16,"Content explicitly advancing Bitcoin sovereignty principles"
voluntary-cooperation,#8957e5,"Discussion focused on voluntary, non-coercive approaches"
